"Date";"Parameter";"value"
2010-07-01;"T_air_mean";22.69375
2010-07-02;"T_air_mean";24.8083333333333
2010-07-03;"T_air_mean";25.4069444444444
2010-07-04;"T_air_mean";24.0354166666667
2010-07-05;"T_air_mean";23.8829457364341
2010-07-06;"T_air_mean";17.6958333333333
2010-07-07;"T_air_mean";17.3006944444444
2010-07-08;"T_air_mean";21.2256944444444
2010-07-09;"T_air_mean";25.0986111111111
2010-07-10;"T_air_mean";27.6534722222222
2010-07-11;"T_air_mean";28.7604166666667
2010-07-12;"T_air_mean";28.8777777777778
2010-07-13;"T_air_mean";23.65
2010-07-14;"T_air_mean";26.4569444444444
2010-07-15;"T_air_mean";23.9
2010-07-16;"T_air_mean";26.1104166666667
2010-07-17;"T_air_mean";22.4506944444444
2010-07-18;"T_air_mean";19.7805555555556
2010-07-19;"T_air_mean";19.3965277777778
2010-07-20;"T_air_mean";20.2909722222222
2010-07-21;"T_air_mean";25.1333333333333
2010-07-22;"T_air_mean";23.9902777777778
2010-07-23;"T_air_mean";18.1652777777778
2010-07-24;"T_air_mean";17.7333333333333
2010-07-25;"T_air_mean";16.3645833333333
2010-07-26;"T_air_mean";18.0506944444444
2010-07-27;"T_air_mean";18.8902777777778
2010-07-28;"T_air_mean";18.2472222222222
2010-07-29;"T_air_mean";16.7784722222222
2010-07-30;"T_air_mean";16.9513888888889
2010-07-31;"T_air_mean";19.3826388888889
2010-08-01;"T_air_mean";22.4951388888889
2010-08-02;"T_air_mean";20.8277777777778
2010-08-03;"T_air_mean";16.9284722222222
2010-08-04;"T_air_mean";17.7444444444444
2010-08-05;"T_air_mean";19.7150793650794
2010-08-12;"T_air_mean";18.5077922077922
2010-08-13;"T_air_mean";18.4868055555556
2010-08-14;"T_air_mean";15.9222222222222
2010-08-15;"T_air_mean";17.8951388888889
2010-08-16;"T_air_mean";18.0979166666667
2010-08-17;"T_air_mean";15.6597222222222
2010-08-18;"T_air_mean";16.3180555555556
2010-08-19;"T_air_mean";17.3861111111111
2010-08-20;"T_air_mean";18.1895833333333
2010-08-21;"T_air_mean";21.5555555555556
2010-08-22;"T_air_mean";22.8326388888889
2010-08-23;"T_air_mean";20.7482014388489
2010-08-24;"T_air_mean";19.5152777777778
2010-08-25;"T_air_mean";16.20625
2010-08-26;"T_air_mean";16.9347222222222
2010-08-27;"T_air_mean";18.6229166666667
2010-08-28;"T_air_mean";14.3756944444444
2010-08-29;"T_air_mean";13.0430555555556
2010-08-30;"T_air_mean";11.8423611111111
2010-08-31;"T_air_mean";13.5173611111111
2010-09-01;"T_air_mean";13.4395833333333
2010-09-02;"T_air_mean";13.7631944444444
2010-09-03;"T_air_mean";12.0319444444444
2010-09-04;"T_air_mean";10.61875
2010-09-05;"T_air_mean";10.94375
2010-09-06;"T_air_mean";10.9847222222222
2010-09-07;"T_air_mean";12.8833333333333
2010-09-08;"T_air_mean";15.775
2010-09-09;"T_air_mean";15.3215277777778
2010-09-10;"T_air_mean";16.2659722222222
2010-09-11;"T_air_mean";15.4659722222222
2010-09-12;"T_air_mean";16.98125
2010-09-13;"T_air_mean";15.1868055555556
2010-09-14;"T_air_mean";13.13125
2010-09-15;"T_air_mean";15.2965277777778
2010-09-16;"T_air_mean";13.7791666666667
2010-09-17;"T_air_mean";12.5951388888889
2010-09-18;"T_air_mean";10.9590277777778
2010-09-19;"T_air_mean";11.1236111111111
2010-09-20;"T_air_mean";13.4895833333333
2010-09-21;"T_air_mean";14.5152777777778
2010-09-22;"T_air_mean";13.4770833333333
2010-09-23;"T_air_mean";15.71875
2010-09-24;"T_air_mean";18.1680555555556
2010-09-25;"T_air_mean";12.5340277777778
2010-09-26;"T_air_mean";9.72430555555556
2010-09-27;"T_air_mean";9.86111111111111
2010-09-28;"T_air_mean";11.1090277777778
2010-09-29;"T_air_mean";9.43402777777778
2010-09-30;"T_air_mean";9.04444444444444
2010-10-01;"T_air_mean";8.30972222222222
2010-10-02;"T_air_mean";10.5611111111111
2010-10-03;"T_air_mean";12.8868055555556
2010-10-04;"T_air_mean";12.2055555555556
2010-10-05;"T_air_mean";13.4986111111111
2010-10-06;"T_air_mean";14.1388888888889
2010-10-07;"T_air_mean";13.3590277777778
2010-10-08;"T_air_mean";12.6631944444444
2010-10-09;"T_air_mean";11.4722222222222
2010-10-10;"T_air_mean";7.61875
2010-10-11;"T_air_mean";6.47291666666667
2010-10-12;"T_air_mean";5.23472222222222
2010-10-13;"T_air_mean";4.43541666666667
2010-10-14;"T_air_mean";5.79166666666667
2010-10-15;"T_air_mean";9.28541666666667
2010-10-16;"T_air_mean";8.70277777777778
2010-10-17;"T_air_mean";6.81805555555556
2010-10-18;"T_air_mean";3.45
2010-10-19;"T_air_mean";5.43194444444444
2010-10-20;"T_air_mean";6.40625
2010-10-21;"T_air_mean";5.10208333333333
2010-10-22;"T_air_mean";5.70138888888889
2010-10-23;"T_air_mean";6.66111111111111
2010-10-24;"T_air_mean";9.14375
2010-10-25;"T_air_mean";4.09027777777778
2010-10-26;"T_air_mean";4.98263888888889
2010-10-27;"T_air_mean";6.20833333333333
2010-10-28;"T_air_mean";8.96388888888889
2010-10-29;"T_air_mean";8.76458333333333
2010-10-30;"T_air_mean";9.55694444444444
2010-10-31;"T_air_mean";6.78333333333333
2010-11-01;"T_air_mean";7.58680555555556
2010-11-02;"T_air_mean";7.95208333333333
2010-11-03;"T_air_mean";11.0270833333333
2010-11-04;"T_air_mean";14.7604166666667
2010-11-05;"T_air_mean";14.6770833333333
2010-11-06;"T_air_mean";10.1722222222222
2010-11-07;"T_air_mean";4.43680555555556
2010-11-08;"T_air_mean";2.89513888888889
2010-11-09;"T_air_mean";3.91944444444444
2010-11-10;"T_air_mean";5.50833333333333
2010-11-11;"T_air_mean";5.97361111111111
2010-11-12;"T_air_mean";9.56875
2010-11-13;"T_air_mean";13.1159722222222
2010-11-14;"T_air_mean";14.33125
2010-11-15;"T_air_mean";10.325
2010-11-16;"T_air_mean";5.14444444444444
2010-11-17;"T_air_mean";3.97013888888889
2010-11-18;"T_air_mean";5.36319444444444
2010-11-19;"T_air_mean";5.77013888888889
2010-11-20;"T_air_mean";5.36388888888889
2010-11-21;"T_air_mean";3.34375
2010-11-22;"T_air_mean";4.51805555555556
2010-11-23;"T_air_mean";3.35555555555556
2010-11-24;"T_air_mean";0.645138888888889
2010-11-25;"T_air_mean";-0.213194444444444
2010-11-26;"T_air_mean";-0.629166666666667
2010-11-27;"T_air_mean";-5.30416666666667
2010-11-28;"T_air_mean";-4.38819444444444
2010-11-29;"T_air_mean";-1.93551401869159
2010-11-30;"T_air_mean";-5.14791666666667
2010-12-01;"T_air_mean";-9.95208333333333
2010-12-02;"T_air_mean";-11.4076388888889
2010-12-03;"T_air_mean";-12.8180555555556
2010-12-04;"T_air_mean";-8.72152777777778
2010-12-05;"T_air_mean";-0.3375
2010-12-06;"T_air_mean";-4.00277777777778
2010-12-07;"T_air_mean";-3.64513888888889
2010-12-08;"T_air_mean";-1.66736111111111
2010-12-09;"T_air_mean";-1.68541666666667
2010-12-10;"T_air_mean";-2.06111111111111
2010-12-11;"T_air_mean";2.41875
2010-12-12;"T_air_mean";0.805555555555556
2010-12-13;"T_air_mean";-3.85902777777778
2010-12-14;"T_air_mean";-2.90972222222222
2010-12-15;"T_air_mean";-3.83194444444444
2010-12-16;"T_air_mean";-5.08472222222222
2010-12-17;"T_air_mean";-3.18472222222222
2010-12-18;"T_air_mean";-7.74027777777778
2010-12-19;"T_air_mean";-5.94652777777778
2010-12-20;"T_air_mean";-3.37777777777778
2010-12-21;"T_air_mean";-5.4625
2010-12-22;"T_air_mean";-0.0583333333333333
